dteday,hr,weekday,casual
2011-01-01,0,Sabtu,3
2011-01-01,1,Sabtu,8
2011-01-01,2,Sabtu,5
2011-01-01,3,Sabtu,3
2011-01-01,4,Sabtu,0
2011-01-01,5,Sabtu,0
2011-01-01,6,Sabtu,2
2011-01-01,7,Sabtu,1
2011-01-01,8,Sabtu,1
2011-01-01,9,Sabtu,8
2011-01-01,10,Sabtu,12
2011-01-01,11,Sabtu,26
2011-01-01,12,Sabtu,29
2011-01-01,13,Sabtu,47
2011-01-01,14,Sabtu,35
2011-01-01,15,Sabtu,40
2011-01-01,16,Sabtu,41
2011-01-01,17,Sabtu,15
2011-01-01,18,Sabtu,9
2011-01-01,19,Sabtu,6
2011-01-01,20,Sabtu,11
2011-01-01,21,Sabtu,3
2011-01-01,22,Sabtu,11
2011-01-01,23,Sabtu,15
2011-01-02,0,Minggu,4
2011-01-02,1,Minggu,1
2011-01-02,2,Minggu,1
2011-01-02,3,Minggu,2
2011-01-02,4,Minggu,2
2011-01-02,6,Minggu,0
2011-01-02,7,Minggu,0
2011-01-02,8,Minggu,0
2011-01-02,9,Minggu,1
2011-01-02,10,Minggu,7
2011-01-02,11,Minggu,16
2011-01-02,12,Minggu,20
2011-01-02,13,Minggu,11
2011-01-02,14,Minggu,4
2011-01-02,15,Minggu,19
2011-01-02,16,Minggu,9
2011-01-02,17,Minggu,7
2011-01-02,18,Minggu,10
2011-01-02,19,Minggu,1
2011-01-02,20,Minggu,5
2011-01-02,21,Minggu,11
2011-01-02,22,Minggu,0
2011-01-02,23,Minggu,0
2011-01-03,0,Senin,0
2011-01-03,1,Senin,0
2011-01-03,4,Senin,0
2011-01-03,5,Senin,0
2011-01-03,6,Senin,0
2011-01-03,7,Senin,1
2011-01-03,8,Senin,1
2011-01-03,9,Senin,7
2011-01-03,10,Senin,11
2011-01-03,11,Senin,10
2011-01-03,12,Senin,13
2011-01-03,13,Senin,8
2011-01-03,14,Senin,11
2011-01-03,15,Senin,14
2011-01-03,16,Senin,9
2011-01-03,17,Senin,11
2011-01-03,18,Senin,9
2011-01-03,19,Senin,8
2011-01-03,20,Senin,3
2011-01-03,21,Senin,3
2011-01-03,22,Senin,0
2011-01-03,23,Senin,1
2011-01-04,0,Selasa,0
2011-01-04,1,Selasa,0
2011-01-04,2,Selasa,0
2011-01-04,4,Selasa,0
2011-01-04,5,Selasa,0
2011-01-04,6,Selasa,0
2011-01-04,7,Selasa,2
2011-01-04,8,Selasa,2
2011-01-04,9,Selasa,2
2011-01-04,10,Selasa,5
2011-01-04,11,Selasa,7
2011-01-04,12,Selasa,12
2011-01-04,13,Selasa,18
2011-01-04,14,Selasa,9
2011-01-04,15,Selasa,17
2011-01-04,16,Selasa,15
2011-01-04,17,Selasa,10
2011-01-04,18,Selasa,3
2011-01-04,19,Selasa,2
2011-01-04,20,Selasa,1
2011-01-04,21,Selasa,0
2011-01-04,22,Selasa,1
2011-01-04,23,Selasa,2
2011-01-05,0,Rabu,0
2011-01-05,1,Rabu,0
2011-01-05,2,Rabu,0
2011-01-05,4,Rabu,0
2011-01-05,5,Rabu,0
2011-01-05,6,Rabu,0
2011-01-05,7,Rabu,1
2011-01-05,8,Rabu,3
2011-01-05,9,Rabu,6
2011-01-05,10,Rabu,4
2011-01-05,11,Rabu,12
2011-01-05,12,Rabu,5
2011-01-05,13,Rabu,6
2011-01-05,14,Rabu,10
2011-01-05,15,Rabu,7
2011-01-05,16,Rabu,4
2011-01-05,17,Rabu,4
2011-01-05,18,Rabu,3
2011-01-05,19,Rabu,5
2011-01-05,20,Rabu,7
2011-01-05,21,Rabu,3
2011-01-05,22,Rabu,1
2011-01-05,23,Rabu,1
2011-01-06,0,Kamis,0
2011-01-06,1,Kamis,0
2011-01-06,2,Kamis,0
2011-01-06,4,Kamis,0
2011-01-06,5,Kamis,0
2011-01-06,6,Kamis,0
2011-01-06,7,Kamis,0
2011-01-06,8,Kamis,3
2011-01-06,9,Kamis,6
2011-01-06,10,Kamis,3
2011-01-06,11,Kamis,2
2011-01-06,12,Kamis,6
2011-01-06,13,Kamis,12
2011-01-06,14,Kamis,11
2011-01-06,15,Kamis,8
2011-01-06,16,Kamis,12
2011-01-06,17,Kamis,9
2011-01-06,18,Kamis,5
2011-01-06,19,Kamis,3
2011-01-06,20,Kamis,3
